mNN;level;area_km2;area;volume
486;0;0;0;0
487;1;0.0026;2600;1314
488;2;0.0051;5100;5189
489;3;0.0128;12800;14178
490;4;0.0204;20400;30816
491;5;0.0345;34500;58337
492;6;0.0485;48500;99907
493;7;0.0812;81200;164921
494;8;0.1139;113900;262635
495;9;0.151;151000;395271
496;10;0.1881;188100;565007
497;11;0.2416;241600;780127
498;12;0.2951;295100;1048747
499;13;0.3548;354800;1373996
500;14;0.4145;414500;1758945
501;15;0.4817;481700;2207381
502;16;0.5489;548900;2723017
503;17;0.6144;614400;3304972
504;18;0.6798;679800;3952372
505;19;0.7351;735100;4660105
506;20;0.7904;790400;5423141
507;21;0.8533;853300;6245306
508;22;0.9162;916200;7130371
509;23;0.9927;992700;8085206
510;24;1.0692;1069200;9116541
511;25;1.1411;1141100;10222026
512;26;1.2129;1212900;11399360
513;27;1.3029;1302900;12657710
514;28;1.3929;1392900;14006060
515;29;1.4734;1473400;15439585
516;30;1.5538;1553800;16953565
517;31;1.627;1627000;18544307
518;32;1.7001;1700100;20208197
519;33;1.7657;1765700;21941425
520;34;1.8313;1831300;23740253
521;35;1.8981;1898100;25605262
522;36;1.9648;1964800;27537023
523;37;2.0357;2035700;29537602
524;38;2.1065;2106500;31609032
525;39;2.1799;2179900;33752600
526;40;2.2533;2253300;35969568
527;41;2.3334;2333400;38263269
528;42;2.4134;2413400;40637069
529;43;2.4963;2496300;43092312
530;44;2.5791;2579100;45630398
531;45;2.6597;2659700;48250202
532;46;2.7403;2740300;50950606
533;47;2.8209;2820900;53731610
534;48;2.9015;2901500;56593214
535;49;2.9868;2986800;59537791
536;50;3.0721;3072100;62567668
537;51;3.287;3287000;65748293
538;52;3.502;3502000;69143893
539;53;3.6258;3625800;72708393
540;54;3.749;3749000;76396543
541;55;3.8876;3887600;80215557
542;56;4.0265;4026500;84173256
